Complaint ID,Complaint Text,Category
CMP00612,My credit card application was rejected without any reason.,Fraud
CMP00613,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00614,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00615,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00616,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00617,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00618,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00619,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00620,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00621,I was charged twice for the same transaction.,Fraud
CMP00622,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00623,Unauthorized withdrawals from my savings account.,Billing Error
CMP00624,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00625,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00626,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00627,My credit card application was rejected without any reason.,Loan Issue
CMP00628,My credit card application was rejected without any reason.,Technical Issue
CMP00629,I was charged twice for the same transaction.,Fraud
CMP00630,My credit card application was rejected without any reason.,Loan Issue
CMP00631,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00632,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00633,My debit card was blocked without notification.,Technical Issue
CMP00634,The interest rate applied to my loan is incorrect.,Fraud
CMP00635,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00636,I was charged twice for the same transaction.,Billing Error
CMP00637,Unauthorized withdrawals from my savings account.,Account Issue
CMP00638,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00639,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00640,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00641,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00642,My credit card application was rejected without any reason.,Loan Issue
CMP00643,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00644,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00645,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00646,I was charged twice for the same transaction.,Technical Issue
CMP00647,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00648,My debit card was blocked without notification.,Technical Issue
CMP00649,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00650,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP00651,Haven't received my refund after 30 days of waiting.,Fraud
CMP00652,My credit card application was rejected without any reason.,Fraud
CMP00653,My debit card was blocked without notification.,Account Issue
CMP00654,I was charged twice for the same transaction.,Billing Error
CMP00655,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00656,My debit card was blocked without notification.,Fraud
CMP00657,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00658,My debit card was blocked without notification.,Account Issue
CMP00659,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00660,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00661,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00662,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00663,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00664,The interest rate applied to my loan is incorrect.,Fraud
CMP00665,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00666,My credit card application was rejected without any reason.,Loan Issue
CMP00667,My credit card application was rejected without any reason.,Account Issue
CMP00668,I was charged twice for the same transaction.,Billing Error
CMP00669,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00670,Haven't received my refund after 30 days of waiting.,Fraud
CMP00671,Unauthorized withdrawals from my savings account.,Account Issue
CMP00672,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00673,My credit card application was rejected without any reason.,Billing Error
CMP00674,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00675,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00676,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00677,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00678,My debit card was blocked without notification.,Technical Issue
CMP00679,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00680,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00681,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00682,My debit card was blocked without notification.,Fraud
CMP00683,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00684,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00685,The interest rate applied to my loan is incorrect.,Account Issue
CMP00686,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00687,Unauthorized withdrawals from my savings account.,Billing Error
CMP00688,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00689,My debit card was blocked without notification.,Technical Issue
CMP00690,Unauthorized withdrawals from my savings account.,Account Issue
CMP00691,The interest rate applied to my loan is incorrect.,Account Issue
CMP00692,My debit card was blocked without notification.,Fraud
CMP00693,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00694,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00695,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00696,My debit card was blocked without notification.,Technical Issue
CMP00697,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00698,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00699,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00700,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00701,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00702,I was charged twice for the same transaction.,Loan Issue
CMP00703,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00704,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00705,Unauthorized withdrawals from my savings account.,Account Issue
CMP00706,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00707,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00708,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00709,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00710,My debit card was blocked without notification.,Fraud
CMP00711,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00712,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00713,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00714,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00715,My debit card was blocked without notification.,Loan Issue
CMP00716,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00717,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00718,Haven't received my refund after 30 days of waiting.,Fraud
CMP00719,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00720,The interest rate applied to my loan is incorrect.,Billing Error
CMP00721,My credit card application was rejected without any reason.,Fraud
CMP00722,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00723,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00724,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00725,My credit card application was rejected without any reason.,Billing Error
CMP00726,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00727,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00728,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00729,My credit card application was rejected without any reason.,Loan Issue
CMP00730,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00731,I was charged twice for the same transaction.,Fraud
CMP00732,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00733,My credit card application was rejected without any reason.,Technical Issue
CMP00734,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00735,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00736,My credit card application was rejected without any reason.,Technical Issue
CMP00737,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00738,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00739,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00740,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00741,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00742,I was charged twice for the same transaction.,Fraud
CMP00743,My debit card was blocked without notification.,Technical Issue
CMP00744,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00745,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00746,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00747,The interest rate applied to my loan is incorrect.,Account Issue
CMP00748,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00749,I was charged twice for the same transaction.,Fraud
CMP00750,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00751,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00752,Unauthorized withdrawals from my savings account.,Fraud
CMP00753,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00754,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00755,My debit card was blocked without notification.,Fraud
CMP00756,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00757,My credit card application was rejected without any reason.,Billing Error
CMP00758,The system keeps showing an error when I try to make a payment.,Fraud
CMP00759,My credit card application was rejected without any reason.,Fraud
CMP00760,My credit card application was rejected without any reason.,Loan Issue
CMP00761,My credit card application was rejected without any reason.,Technical Issue
CMP00762,My debit card was blocked without notification.,Billing Error
CMP00763,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00764,My debit card was blocked without notification.,Loan Issue
CMP00765,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00766,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00767,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00768,My credit card application was rejected without any reason.,Fraud
CMP00769,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00770,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00771,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00772,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00773,My credit card application was rejected without any reason.,Loan Issue
CMP00774,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00775,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00776,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00777,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00778,Haven't received my refund after 30 days of waiting.,Fraud
CMP00779,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00780,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00781,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00782,My credit card application was rejected without any reason.,Technical Issue
CMP00783,My credit card application was rejected without any reason.,Billing Error
CMP00784,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00785,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00786,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00787,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00788,My credit card application was rejected without any reason.,Fraud
CMP00789,I was charged twice for the same transaction.,Fraud
CMP00790,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00791,I was charged twice for the same transaction.,Loan Issue
CMP00792,My credit card application was rejected without any reason.,Fraud
CMP00793,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00794,My debit card was blocked without notification.,Fraud
CMP00795,The interest rate applied to my loan is incorrect.,Account Issue
CMP00796,I was charged twice for the same transaction.,Account Issue
CMP00797,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00798,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00799,My debit card was blocked without notification.,Fraud
CMP00800,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00801,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00802,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00803,Unauthorized withdrawals from my savings account.,Account Issue
CMP00804,I was charged twice for the same transaction.,Technical Issue
CMP00805,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00806,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00807,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00808,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00809,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00810,My debit card was blocked without notification.,Loan Issue
CMP00811,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00812,Haven't received my refund after 30 days of waiting.,Fraud
CMP00813,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00814,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00815,My credit card application was rejected without any reason.,Technical Issue
CMP00816,My debit card was blocked without notification.,Fraud
CMP00817,My credit card application was rejected without any reason.,Account Issue
CMP00818,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00819,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00820,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00821,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00822,My credit card application was rejected without any reason.,Account Issue
CMP00823,Unauthorized withdrawals from my savings account.,Account Issue
CMP00824,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00825,My credit card application was rejected without any reason.,Loan Issue
CMP00826,The system keeps showing an error when I try to make a payment.,Fraud
CMP00827,My credit card application was rejected without any reason.,Technical Issue
CMP00828,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00829,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00830,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00831,Haven't received my refund after 30 days of waiting.,Fraud
CMP00832,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00833,The system keeps showing an error when I try to make a payment.,Fraud
CMP00834,My credit card application was rejected without any reason.,Account Issue
CMP00835,Haven't received my refund after 30 days of waiting.,Fraud
CMP00836,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00837,Haven't received my refund after 30 days of waiting.,Fraud
CMP00838,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00839,I was charged twice for the same transaction.,Fraud
CMP00840,The interest rate applied to my loan is incorrect.,Billing Error
CMP00841,My credit card application was rejected without any reason.,Technical Issue
CMP00842,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00843,My credit card application was rejected without any reason.,Fraud
CMP00844,My credit card application was rejected without any reason.,Fraud
CMP00845,I was charged twice for the same transaction.,Account Issue
CMP00846,Unauthorized withdrawals from my savings account.,Account Issue
CMP00847,I was charged twice for the same transaction.,Technical Issue
CMP00848,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00849,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00850,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00851,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00852,The system keeps showing an error when I try to make a payment.,Fraud
CMP00853,Unauthorized withdrawals from my savings account.,Account Issue
CMP00854,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00855,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00856,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00857,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00858,I was charged twice for the same transaction.,Technical Issue
CMP00859,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00860,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00861,My credit card application was rejected without any reason.,Billing Error
CMP00862,I was charged twice for the same transaction.,Loan Issue
CMP00863,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00864,Unauthorized withdrawals from my savings account.,Account Issue
CMP00865,The system keeps showing an error when I try to make a payment.,Fraud
CMP00866,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00867,My credit card application was rejected without any reason.,Billing Error
CMP00868,My debit card was blocked without notification.,Fraud
CMP00869,My debit card was blocked without notification.,Technical Issue
CMP00870,My credit card application was rejected without any reason.,Loan Issue
CMP00871,The interest rate applied to my loan is incorrect.,Account Issue
CMP00872,The system keeps showing an error when I try to make a payment.,Fraud
CMP00873,My credit card application was rejected without any reason.,Loan Issue
CMP00874,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00875,The system keeps showing an error when I try to make a payment.,Fraud
CMP00876,My credit card application was rejected without any reason.,Account Issue
CMP00877,My debit card was blocked without notification.,Loan Issue
CMP00878,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00879,The system keeps showing an error when I try to make a payment.,Fraud
CMP00880,My credit card application was rejected without any reason.,Account Issue
CMP00881,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00882,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00883,My debit card was blocked without notification.,Billing Error
CMP00884,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00885,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00886,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00887,The system keeps showing an error when I try to make a payment.,Fraud
CMP00888,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00889,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00890,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00891,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00892,Unauthorized withdrawals from my savings account.,Billing Error
CMP00893,The system keeps showing an error when I try to make a payment.,Fraud
CMP00894,My credit card application was rejected without any reason.,Loan Issue
CMP00895,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00896,The interest rate applied to my loan is incorrect.,Billing Error
CMP00897,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00898,My credit card application was rejected without any reason.,Account Issue
CMP00899,My debit card was blocked without notification.,Account Issue
CMP00900,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00901,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00902,My debit card was blocked without notification.,Loan Issue
CMP00903,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00904,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00905,My credit card application was rejected without any reason.,Billing Error
CMP00906,My debit card was blocked without notification.,Billing Error
CMP00907,My debit card was blocked without notification.,Technical Issue
CMP00908,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00909,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00910,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00911,Haven't received my refund after 30 days of waiting.,Fraud
CMP00912,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00913,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00914,My credit card application was rejected without any reason.,Loan Issue
CMP00915,My debit card was blocked without notification.,Loan Issue
CMP00916,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00917,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00918,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00919,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00920,Unauthorized withdrawals from my savings account.,Fraud
CMP00921,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00922,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00923,I was charged twice for the same transaction.,Technical Issue
CMP00924,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00925,The interest rate applied to my loan is incorrect.,Account Issue
CMP00926,I was charged twice for the same transaction.,Fraud
CMP00927,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00928,Unauthorized withdrawals from my savings account.,Fraud
CMP00929,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00930,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00931,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00932,The interest rate applied to my loan is incorrect.,Billing Error
CMP00933,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00934,I was charged twice for the same transaction.,Billing Error
CMP00935,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00936,I was charged twice for the same transaction.,Loan Issue
CMP00937,My debit card was blocked without notification.,Account Issue
CMP00938,Unauthorized withdrawals from my savings account.,Billing Error
CMP00939,Haven't received my refund after 30 days of waiting.,Fraud
CMP00940,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00941,My credit card application was rejected without any reason.,Billing Error
CMP00942,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00943,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00944,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00945,My credit card application was rejected without any reason.,Billing Error
CMP00946,My credit card application was rejected without any reason.,Loan Issue
CMP00947,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00948,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00949,My debit card was blocked without notification.,Billing Error
CMP00950,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00951,I was charged twice for the same transaction.,Technical Issue
CMP00952,I was charged twice for the same transaction.,Account Issue
CMP00953,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00954,My debit card was blocked without notification.,Technical Issue
CMP00955,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00956,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00957,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00958,The interest rate applied to my loan is incorrect.,Billing Error
CMP00959,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00960,Unauthorized withdrawals from my savings account.,Billing Error
CMP00961,My credit card application was rejected without any reason.,Billing Error
CMP00962,The interest rate applied to my loan is incorrect.,Account Issue
CMP00963,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00964,My debit card was blocked without notification.,Account Issue
CMP00965,The interest rate applied to my loan is incorrect.,Billing Error
CMP00966,Unauthorized withdrawals from my savings account.,Billing Error
CMP00967,My credit card application was rejected without any reason.,Account Issue
CMP00968,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00969,My debit card was blocked without notification.,Loan Issue
CMP00970,My debit card was blocked without notification.,Account Issue
CMP00971,Unauthorized withdrawals from my savings account.,Billing Error
CMP00972,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00973,I was charged twice for the same transaction.,Account Issue
CMP00974,My credit card application was rejected without any reason.,Billing Error
CMP00975,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00976,My debit card was blocked without notification.,Loan Issue
CMP00977,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00978,Unauthorized withdrawals from my savings account.,Account Issue
CMP00979,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00980,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00981,My credit card application was rejected without any reason.,Fraud
CMP00982,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00983,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00984,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00985,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP00986,My debit card was blocked without notification.,Technical Issue
CMP00987,Unauthorized withdrawals from my savings account.,Billing Error
CMP00988,My debit card was blocked without notification.,Fraud
CMP00989,My credit card application was rejected without any reason.,Fraud
CMP00990,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00991,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00992,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00993,My debit card was blocked without notification.,Billing Error
CMP00994,The interest rate applied to my loan is incorrect.,Billing Error
CMP00995,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00996,My debit card was blocked without notification.,Fraud
CMP00997,The system keeps showing an error when I try to make a payment.,Fraud
CMP00998,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00999,The interest rate applied to my loan is incorrect.,Fraud
CMP01000,The interest rate applied to my loan is incorrect.,Billing Error
CMP01001,The interest rate applied to my loan is incorrect.,Account Issue
CMP01002,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP01003,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP01004,Unauthorized withdrawals from my savings account.,Loan Issue
CMP01005,My credit card application was rejected without any reason.,Technical Issue
CMP01006,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP01007,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP01008,Unauthorized withdrawals from my savings account.,Account Issue
CMP01009,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP01010,My credit card application was rejected without any reason.,Billing Error
CMP01011,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP01012,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP01013,My credit card application was rejected without any reason.,Billing Error
CMP01014,The interest rate applied to my loan is incorrect.,Billing Error
CMP01015,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP01016,My credit card application was rejected without any reason.,Technical Issue
CMP01017,Haven't received my refund after 30 days of waiting.,Billing Error
CMP01018,My credit card application was rejected without any reason.,Technical Issue
CMP01019,The interest rate applied to my loan is incorrect.,Loan Issue
CMP01020,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP01021,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP01022,The interest rate applied to my loan is incorrect.,Billing Error
CMP01023,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP01024,The interest rate applied to my loan is incorrect.,Account Issue
CMP01025,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP01026,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP01027,The interest rate applied to my loan is incorrect.,Account Issue
CMP01028,Unauthorized withdrawals from my savings account.,Account Issue
CMP01029,Unauthorized withdrawals from my savings account.,Account Issue
CMP01030,My debit card was blocked without notification.,Technical Issue
CMP01031,Haven't received my refund after 30 days of waiting.,Account Issue
CMP01032,I was charged twice for the same transaction.,Billing Error
CMP01033,The system keeps showing an error when I try to make a payment.,Account Issue
CMP01034,I was charged twice for the same transaction.,Fraud
CMP01035,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP01036,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP01037,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP01038,My debit card was blocked without notification.,Loan Issue
CMP01039,The system keeps showing an error when I try to make a payment.,Billing Error
CMP01040,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP01041,I was charged twice for the same transaction.,Technical Issue
CMP01042,Haven't received my refund after 30 days of waiting.,Billing Error
CMP01043,Unauthorized withdrawals from my savings account.,Technical Issue
CMP01044,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP01045,Unauthorized withdrawals from my savings account.,Technical Issue
CMP01046,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP01047,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP01048,Unauthorized withdrawals from my savings account.,Technical Issue
CMP01049,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP01050,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP01051,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP01052,The interest rate applied to my loan is incorrect.,Loan Issue
CMP01053,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP01054,My debit card was blocked without notification.,Loan Issue
CMP01055,Haven't received my refund after 30 days of waiting.,Billing Error
CMP01056,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP01057,My debit card was blocked without notification.,Account Issue
CMP01058,My credit card application was rejected without any reason.,Account Issue
CMP01059,My debit card was blocked without notification.,Billing Error
CMP01060,Haven't received my refund after 30 days of waiting.,Fraud
CMP01061,Unauthorized withdrawals from my savings account.,Account Issue
CMP01062,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP01063,My credit card application was rejected without any reason.,Technical Issue
CMP01064,I was charged twice for the same transaction.,Loan Issue
CMP01065,Unauthorized withdrawals from my savings account.,Loan Issue
CMP01066,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP01067,Unauthorized withdrawals from my savings account.,Fraud
CMP01068,My credit card application was rejected without any reason.,Loan Issue
CMP01069,The interest rate applied to my loan is incorrect.,Technical Issue
CMP01070,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP01071,My debit card was blocked without notification.,Loan Issue
CMP01072,Unauthorized withdrawals from my savings account.,Account Issue
CMP01073,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP01074,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP01075,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP01076,Loan approval is delayed despite submitting all required documents.,Fraud
